date,number_comments,week_day
2024-03-22,5273,Friday
2024-03-23,3113,Saturday
2024-03-24,2882,Sunday
2024-03-25,5174,Monday
2024-03-26,5680,Tuesday
2024-03-27,5401,Wednesday
2024-02-15,5652,Thursday
2024-02-16,4970,Friday
2024-02-17,2847,Saturday
2024-02-18,2973,Sunday
2024-02-19,5480,Monday
2024-02-20,5989,Tuesday
2024-02-21,6009,Wednesday
2024-01-23,5776,Tuesday
2024-01-24,5825,Wednesday
2024-01-25,6081,Thursday
2024-01-26,5493,Friday
2024-01-27,3128,Saturday
2024-01-28,3292,Sunday
2024-01-29,5883,Monday
2024-04-22,5199,Monday
2024-04-23,5312,Tuesday
2024-04-24,5066,Wednesday
2024-04-25,5437,Thursday
2024-04-26,5170,Friday
2024-04-27,2856,Saturday
2024-01-09,5859,Tuesday
2024-01-10,6152,Wednesday
2024-01-11,6057,Thursday
2024-01-12,5701,Friday
2024-01-13,3049,Saturday
2024-01-14,2911,Sunday
2024-01-15,5149,Monday
2024-03-08,5374,Friday
2024-03-09,2686,Saturday
2024-03-10,2784,Sunday
2024-03-11,5688,Monday
2024-03-12,6023,Tuesday
2024-03-13,5763,Wednesday
2024-03-14,5712,Thursday
2023-12-20,5393,Wednesday
2023-12-21,5259,Thursday
2023-12-22,4520,Friday
2023-12-23,2369,Saturday
2023-12-24,2249,Sunday
2023-12-25,2251,Monday
2023-12-26,3096,Tuesday
2023-11-30,4106,Thursday
2023-12-01,4884,Friday
2023-12-02,2871,Saturday
2023-12-03,2914,Sunday
2023-12-04,5196,Monday
2023-12-05,5447,Tuesday
2023-12-06,5538,Wednesday
2023-12-07,5497,Thursday
2023-12-27,3890,Wednesday
2023-12-28,4331,Thursday
2023-12-29,3965,Friday
2023-12-30,2733,Saturday
2023-12-31,2262,Sunday
2024-01-16,6037,Tuesday
2024-01-17,6366,Wednesday
2024-01-18,6176,Thursday
2024-01-19,5605,Friday
2024-01-20,3047,Saturday
2024-01-21,3267,Sunday
2024-01-22,5504,Monday
2024-01-01,2636,Monday
2024-01-02,4666,Tuesday
2024-01-03,5283,Wednesday
2024-01-04,5759,Thursday
2024-01-05,5203,Friday
2024-01-06,2723,Saturday
2024-01-07,3033,Sunday
2024-01-08,5018,Monday
2024-04-28,2720,Sunday
2024-04-29,4970,Monday
2024-04-30,5381,Tuesday
2023-12-13,5699,Wednesday
2023-12-14,5770,Thursday
2023-12-15,4859,Friday
2023-12-16,2848,Saturday
2023-12-17,2787,Sunday
2023-12-18,5331,Monday
2023-12-19,5370,Tuesday
2024-02-08,6210,Thursday
2024-02-09,5373,Friday
2024-02-10,3027,Saturday
2024-02-11,3045,Sunday
2024-02-12,5272,Monday
2024-02-13,5660,Tuesday
2024-02-14,5957,Wednesday
2024-04-15,5304,Monday
2024-04-16,5441,Tuesday
2024-04-17,5544,Wednesday
2024-04-18,5975,Thursday
2024-04-19,5633,Friday
2024-04-20,2699,Saturday
2024-04-21,2870,Sunday
2024-02-28,6246,Wednesday
2024-02-29,6065,Thursday
2024-04-01,4384,Monday
2024-04-02,5768,Tuesday
2024-04-03,5770,Wednesday
2024-04-04,5445,Thursday
2024-04-05,4885,Friday
2024-04-06,2939,Saturday
2024-04-07,2877,Sunday
2023-12-08,5162,Friday
2023-12-09,2923,Saturday
2023-12-10,2981,Sunday
2023-12-11,5353,Monday
2023-12-12,5807,Tuesday
2024-01-30,6009,Tuesday
2024-01-31,6186,Wednesday
2024-02-01,6070,Thursday
2024-02-02,5751,Friday
2024-02-03,3013,Saturday
2024-02-04,3123,Sunday
2024-02-05,5789,Monday
2024-02-06,6304,Tuesday
2024-02-07,6037,Wednesday
2024-02-22,6268,Thursday
2024-02-23,5330,Friday
2024-02-24,2948,Saturday
2024-02-25,3001,Sunday
2024-02-26,5506,Monday
2024-02-27,5781,Tuesday
2024-03-28,5501,Thursday
2024-03-29,4315,Friday
2024-03-30,2806,Saturday
2024-03-31,2649,Sunday
2024-04-08,5220,Monday
2024-04-09,5541,Tuesday
2024-04-10,5349,Wednesday
2024-04-11,5311,Thursday
2024-04-12,5183,Friday
2024-04-13,2570,Saturday
2024-04-14,2625,Sunday
2024-03-15,5587,Friday
2024-03-16,2977,Saturday
2024-03-17,2950,Sunday
2024-03-18,5636,Monday
2024-03-19,5892,Tuesday
2024-03-20,5763,Wednesday
2024-03-21,5756,Thursday
2024-03-01,5669,Friday
2024-03-02,3016,Saturday
2024-03-03,2982,Sunday
2024-03-04,5538,Monday
2024-03-05,5992,Tuesday
2024-03-06,6349,Wednesday
2024-03-07,5890,Thursday
