date,number_questions,week_day
2024-01-05,2039,Friday
2024-01-06,1213,Saturday
2024-01-07,1246,Sunday
2024-01-08,2058,Monday
2024-01-09,2392,Tuesday
2024-01-10,2352,Wednesday
2023-12-02,1321,Saturday
2024-01-11,2418,Thursday
2024-01-12,2217,Friday
2024-01-13,1230,Saturday
2024-01-14,1238,Sunday
2024-01-15,2047,Monday
2023-12-10,1252,Sunday
2023-12-11,2245,Monday
2023-12-12,2475,Tuesday
2023-12-13,2461,Wednesday
2024-01-01,975,Monday
2024-01-02,1844,Tuesday
2024-01-03,2140,Wednesday
2024-01-04,2233,Thursday
2023-12-06,2595,Wednesday
2023-12-07,2400,Thursday
2023-12-08,2195,Friday
2023-12-09,1159,Saturday
2024-03-11,2223,Monday
2024-03-12,2367,Tuesday
2024-03-13,2452,Wednesday
2024-03-14,2369,Thursday
2024-03-15,2234,Friday
2024-03-16,1176,Saturday
2024-03-17,1280,Sunday
2024-03-18,2205,Monday
2024-03-19,2385,Tuesday
2024-03-20,2371,Wednesday
2023-12-14,2347,Thursday
2023-12-15,2042,Friday
2023-12-16,1216,Saturday
2024-04-21,1197,Sunday
2024-04-22,2075,Monday
2024-04-23,2265,Tuesday
2024-04-24,2285,Wednesday
2023-12-28,1815,Thursday
2023-12-29,1636,Friday
2023-12-30,1092,Saturday
2023-12-31,890,Sunday
2023-12-03,1331,Sunday
2023-12-04,2283,Monday
2023-12-05,2392,Tuesday
2023-12-17,1191,Sunday
2023-12-18,2198,Monday
2023-12-19,2335,Tuesday
2024-03-01,2174,Friday
2024-03-02,1193,Saturday
2024-03-03,1158,Sunday
2024-03-04,2205,Monday
2024-03-05,2291,Tuesday
2024-03-06,2489,Wednesday
2024-03-07,2493,Thursday
2024-03-08,2068,Friday
2024-03-09,1172,Saturday
2024-03-10,1190,Sunday
2023-12-01,2253,Friday
2024-01-21,1342,Sunday
2024-01-22,2289,Monday
2024-01-23,2336,Tuesday
2024-01-24,2581,Wednesday
2024-01-25,2477,Thursday
2024-04-29,2050,Monday
2024-04-30,2120,Tuesday
2024-04-11,2130,Thursday
2024-04-12,2053,Friday
2024-04-13,1033,Saturday
2024-04-14,1140,Sunday
2024-04-15,2121,Monday
2024-04-16,2263,Tuesday
2024-04-17,2375,Wednesday
2024-04-18,2459,Thursday
2024-04-19,2113,Friday
2024-04-20,1215,Saturday
2024-04-01,1857,Monday
2024-02-21,2469,Wednesday
2024-02-22,2542,Thursday
2024-02-23,2283,Friday
2024-02-24,1232,Saturday
2024-02-25,1291,Sunday
2024-02-26,2332,Monday
2024-02-27,2431,Tuesday
2024-02-28,2558,Wednesday
2024-02-29,2406,Thursday
2024-03-21,2289,Thursday
2024-03-22,2109,Friday
2024-03-23,1234,Saturday
2024-03-24,1175,Sunday
2024-03-25,2049,Monday
2024-03-26,2285,Tuesday
2024-03-27,2322,Wednesday
2024-03-28,2209,Thursday
2024-03-29,1820,Friday
2024-03-30,1137,Saturday
2024-03-31,1111,Sunday
2024-01-26,2133,Friday
2024-01-27,1312,Saturday
2024-01-28,1275,Sunday
2024-01-29,2425,Monday
2024-01-30,2524,Tuesday
2024-01-31,2618,Wednesday
2024-02-01,2607,Thursday
2024-02-02,2321,Friday
2024-02-03,1314,Saturday
2024-02-04,1353,Sunday
2024-02-05,2348,Monday
2024-02-06,2586,Tuesday
2024-02-07,2584,Wednesday
2024-02-08,2569,Thursday
2024-02-09,2144,Friday
2024-02-10,1254,Saturday
2023-11-30,2014,Thursday
2024-01-17,2559,Wednesday
2024-01-18,2612,Thursday
2024-01-19,2364,Friday
2024-01-20,1331,Saturday
2024-01-16,2366,Tuesday
2023-12-24,928,Sunday
2023-12-25,1015,Monday
2023-12-26,1488,Tuesday
2023-12-27,1755,Wednesday
2024-04-25,2204,Thursday
2024-04-26,2044,Friday
2024-04-27,1163,Saturday
2024-04-28,1126,Sunday
2024-02-11,1244,Sunday
2024-02-12,2132,Monday
2024-02-13,2344,Tuesday
2024-02-14,2351,Wednesday
2024-02-15,2394,Thursday
2024-02-16,2173,Friday
2024-02-17,1233,Saturday
2024-02-18,1360,Sunday
2024-02-19,2280,Monday
2024-02-20,2417,Tuesday
2024-04-02,2254,Tuesday
2024-04-03,2371,Wednesday
2024-04-04,2198,Thursday
2024-04-05,2021,Friday
2024-04-06,1219,Saturday
2024-04-07,1204,Sunday
2024-04-08,2090,Monday
2024-04-09,2222,Tuesday
2024-04-10,2204,Wednesday
2023-12-20,2405,Wednesday
2023-12-21,2143,Thursday
2023-12-22,1808,Friday
2023-12-23,994,Saturday
