date,value
2022-07-01,226
2022-07-02,144
2022-07-03,152
2022-07-04,222
2022-07-05,225
2022-07-06,292
2022-07-07,252
2022-07-08,251
2022-07-09,113
2022-07-10,125
2022-07-11,250
2022-07-12,280
2022-07-13,241
2022-07-14,272
2022-07-15,273
2022-07-16,122
2022-07-17,121
2022-07-18,272
2022-07-19,266
2022-07-20,284
2022-07-21,257
2022-07-22,220
2022-07-23,119
2022-07-24,122
2022-07-25,232
2022-07-26,248
2022-07-27,248
2022-07-28,275
2022-07-29,206
2022-07-30,129
2022-07-31,133
2022-08-01,232
2022-08-02,290
2022-08-03,259
2022-08-04,262
2022-08-05,223
2022-08-06,120
2022-08-07,99
2022-08-08,230
2022-08-09,269
2022-08-10,234
2022-08-11,265
2022-08-12,227
2022-08-13,105
2022-08-14,123
2022-08-15,199
2022-08-16,218
2022-08-17,248
2022-08-18,239
2022-08-19,220
2022-08-20,130
2022-08-21,121
2022-08-22,258
2022-08-23,246
2022-08-24,281
2022-08-25,242
2022-08-26,209
2022-08-27,123
2022-08-28,117
2022-08-29,238
2022-08-30,254
2022-08-31,213
2022-09-01,233
2022-09-02,186
2022-09-03,104
2022-09-04,111
2022-09-05,220
2022-09-06,257
2022-09-07,253
2022-09-08,240
2022-09-09,210
2022-09-10,102
2022-09-11,98
2022-09-12,226
2022-09-13,259
2022-09-14,240
2022-09-15,253
2022-09-16,211
2022-09-17,108
2022-09-18,137
2022-09-19,232
2022-09-20,228
2022-09-21,270
2022-09-22,240
2022-09-23,219
2022-09-24,119
2022-09-25,108
2022-09-26,229
2022-09-27,255
2022-09-28,284
2022-09-29,294
2022-09-30,271
2022-10-01,135
2022-10-02,149
2022-10-03,183
2022-10-04,253
2022-10-05,231
2022-10-06,263
2022-10-07,217
2022-10-08,165
2022-10-09,143
2022-10-10,247
2022-10-11,261
2022-10-12,231
2022-10-13,282
2022-10-14,257
2022-10-15,160
2022-10-16,134
2022-10-17,269
2022-10-18,233
2022-10-19,239
2022-10-20,248
2022-10-21,227
2022-10-22,135
2022-10-23,147
2022-10-24,181
2022-10-25,254
2022-10-26,267
2022-10-27,239
2022-10-28,233
2022-10-29,123
2022-10-30,140
2022-10-31,225
2022-11-01,233
2022-11-02,257
2022-11-03,234
2022-11-04,245
2022-11-05,148
2022-11-06,157
2022-11-07,249
2022-11-08,245
2022-11-09,259
2022-11-10,248
2022-11-11,236
2022-11-12,141
2022-11-13,129
2022-11-14,245
2022-11-15,300
2022-11-16,279
2022-11-17,262
2022-11-18,248
2022-11-19,171
2022-11-20,148
2022-11-21,264
2022-11-22,299
2022-11-23,278
2022-11-24,229
2022-11-25,243
2022-11-26,142
2022-11-27,173
2022-11-28,237
2022-11-29,229
