date,number_answers,week_day
2022-08-15,3535,Monday
2022-08-16,4361,Tuesday
2022-08-17,4447,Wednesday
2022-08-18,4365,Thursday
2022-10-16,2289,Sunday
2022-10-17,3935,Monday
2022-10-18,4389,Tuesday
2022-10-19,4486,Wednesday
2022-10-20,4443,Thursday
2022-10-11,4142,Tuesday
2022-10-12,4284,Wednesday
2022-10-13,4222,Thursday
2022-10-14,3944,Friday
2022-10-15,2483,Saturday
2022-09-25,2128,Sunday
2022-09-26,3781,Monday
2022-09-27,4255,Tuesday
2022-09-28,4281,Wednesday
2022-09-29,4212,Thursday
2022-11-21,3969,Monday
2022-11-22,4407,Tuesday
2022-11-23,4256,Wednesday
2022-11-24,3952,Thursday
2022-07-23,2367,Saturday
2022-07-24,2389,Sunday
2022-07-25,3935,Monday
2022-07-26,4344,Tuesday
2022-10-06,4143,Thursday
2022-10-07,3880,Friday
2022-10-08,2404,Saturday
2022-10-09,2324,Sunday
2022-10-10,3833,Monday
2022-09-01,4188,Thursday
2022-09-02,3622,Friday
2022-09-03,2246,Saturday
2022-09-04,2313,Sunday
2022-09-05,3661,Monday
2022-11-01,3886,Tuesday
2022-11-02,4176,Wednesday
2022-11-03,4192,Thursday
2022-11-04,4122,Friday
2022-11-05,2477,Saturday
2022-08-05,3903,Friday
2022-08-06,2422,Saturday
2022-08-07,2446,Sunday
2022-08-08,4008,Monday
2022-08-09,4216,Tuesday
2022-09-15,4350,Thursday
2022-09-16,3927,Friday
2022-09-17,2501,Saturday
2022-09-18,2327,Sunday
2022-09-19,3966,Monday
2022-07-19,4406,Tuesday
2022-07-20,4354,Wednesday
2022-07-21,4381,Thursday
2022-07-22,4091,Friday
2022-09-20,3990,Tuesday
2022-09-21,4093,Wednesday
2022-09-22,4116,Thursday
2022-09-23,3703,Friday
2022-09-24,2214,Saturday
2022-10-31,3798,Monday
2022-08-10,4505,Wednesday
2022-08-11,4299,Thursday
2022-08-12,4022,Friday
2022-08-13,2325,Saturday
2022-08-14,2184,Sunday
2022-11-25,3451,Friday
2022-11-26,2346,Saturday
2022-11-27,2487,Sunday
2022-11-28,4016,Monday
2022-11-29,4124,Tuesday
2022-10-26,4353,Wednesday
2022-10-27,4317,Thursday
2022-10-28,3886,Friday
2022-10-29,2301,Saturday
2022-10-30,2346,Sunday
2022-11-11,3922,Friday
2022-11-12,2519,Saturday
2022-11-13,2518,Sunday
2022-11-14,4038,Monday
2022-11-15,4424,Tuesday
2022-08-24,4397,Wednesday
2022-08-25,4263,Thursday
2022-08-26,3940,Friday
2022-08-27,2394,Saturday
2022-07-11,3896,Monday
2022-07-12,4059,Tuesday
2022-07-13,4246,Wednesday
2022-07-14,4066,Thursday
2022-08-28,2415,Sunday
2022-08-29,3860,Monday
2022-08-30,4263,Tuesday
2022-08-31,4103,Wednesday
2022-08-01,3766,Monday
2022-08-02,4281,Tuesday
2022-08-03,4183,Wednesday
2022-08-04,4207,Thursday
2022-09-06,4110,Tuesday
2022-09-07,4144,Wednesday
2022-09-08,4031,Thursday
2022-09-09,3828,Friday
2022-08-19,3893,Friday
2022-08-20,2261,Saturday
2022-08-21,2556,Sunday
2022-08-22,3998,Monday
2022-08-23,4287,Tuesday
2022-07-01,2846,Friday
2022-07-02,2035,Saturday
2022-07-03,2058,Sunday
2022-07-04,3330,Monday
2022-07-05,3827,Tuesday
2022-07-06,4156,Wednesday
2022-07-07,4107,Thursday
2022-07-08,3776,Friday
2022-07-09,2226,Saturday
2022-07-10,2211,Sunday
2022-10-01,2326,Saturday
2022-10-02,2392,Sunday
2022-10-03,3606,Monday
2022-10-04,3984,Tuesday
2022-10-05,3788,Wednesday
2022-09-10,2271,Saturday
2022-09-11,2275,Sunday
2022-09-12,3970,Monday
2022-09-13,4266,Tuesday
2022-09-14,4268,Wednesday
2022-07-15,3836,Friday
2022-07-16,2388,Saturday
2022-07-17,2296,Sunday
2022-07-18,4039,Monday
2022-11-06,2535,Sunday
2022-11-07,4155,Monday
2022-11-08,4351,Tuesday
2022-11-09,4293,Wednesday
2022-11-10,4141,Thursday
2022-11-16,4616,Wednesday
2022-11-17,4537,Thursday
2022-11-18,3991,Friday
2022-11-19,2460,Saturday
2022-11-20,2502,Sunday
2022-10-21,3862,Friday
2022-10-22,2440,Saturday
2022-10-23,2370,Sunday
2022-10-24,3809,Monday
2022-10-25,4064,Tuesday
2022-09-30,3786,Friday
2022-07-27,4495,Wednesday
2022-07-28,4300,Thursday
2022-07-29,3573,Friday
2022-07-30,2442,Saturday
2022-07-31,2424,Sunday
