date,number_questions,week_day
2022-08-15,4346,Monday
2022-08-16,5373,Tuesday
2022-08-17,5436,Wednesday
2022-08-18,5454,Thursday
2022-10-16,2830,Sunday
2022-10-17,4972,Monday
2022-10-18,5439,Tuesday
2022-10-19,5629,Wednesday
2022-10-20,5452,Thursday
2022-10-11,5054,Tuesday
2022-10-12,5260,Wednesday
2022-10-13,5283,Thursday
2022-10-14,4885,Friday
2022-10-15,2857,Saturday
2022-09-25,2713,Sunday
2022-09-26,4722,Monday
2022-09-27,5252,Tuesday
2022-09-28,5255,Wednesday
2022-09-29,5238,Thursday
2022-11-21,5045,Monday
2022-11-22,5556,Tuesday
2022-11-23,5417,Wednesday
2022-11-24,5065,Thursday
2022-07-23,2750,Saturday
2022-07-24,2928,Sunday
2022-07-25,5218,Monday
2022-07-26,5532,Tuesday
2022-10-06,5156,Thursday
2022-10-07,4634,Friday
2022-10-08,2804,Saturday
2022-10-09,2886,Sunday
2022-10-10,4751,Monday
2022-09-01,4895,Thursday
2022-09-02,4521,Friday
2022-09-03,2510,Saturday
2022-09-04,2687,Sunday
2022-09-05,4510,Monday
2022-11-01,4822,Tuesday
2022-11-02,5340,Wednesday
2022-11-03,5344,Thursday
2022-11-04,5156,Friday
2022-11-05,3022,Saturday
2022-08-05,4876,Friday
2022-08-06,2814,Saturday
2022-08-07,2773,Sunday
2022-08-08,5135,Monday
2022-08-09,5420,Tuesday
2022-09-15,5205,Thursday
2022-09-16,4681,Friday
2022-09-17,2723,Saturday
2022-09-18,2730,Sunday
2022-09-19,4631,Monday
2022-07-19,5634,Tuesday
2022-07-20,5692,Wednesday
2022-07-21,5514,Thursday
2022-07-22,5060,Friday
2022-09-20,4923,Tuesday
2022-09-21,5030,Wednesday
2022-09-22,5202,Thursday
2022-09-23,4552,Friday
2022-09-24,2667,Saturday
2022-10-31,4870,Monday
2022-08-10,5525,Wednesday
2022-08-11,5407,Thursday
2022-08-12,4806,Friday
2022-08-13,2673,Saturday
2022-08-14,2624,Sunday
2022-11-25,4435,Friday
2022-11-26,2785,Saturday
2022-11-27,3000,Sunday
2022-11-28,5041,Monday
2022-11-29,5254,Tuesday
2022-10-26,5450,Wednesday
2022-10-27,5265,Thursday
2022-10-28,4795,Friday
2022-10-29,2797,Saturday
2022-10-30,2935,Sunday
2022-11-11,4888,Friday
2022-11-12,2966,Saturday
2022-11-13,3020,Sunday
2022-11-14,5284,Monday
2022-11-15,5597,Tuesday
2022-08-24,5509,Wednesday
2022-08-25,5313,Thursday
2022-08-26,4665,Friday
2022-08-27,2702,Saturday
2022-07-11,4972,Monday
2022-07-12,5283,Tuesday
2022-07-13,5394,Wednesday
2022-07-14,5392,Thursday
2022-08-28,2808,Sunday
2022-08-29,4674,Monday
2022-08-30,5147,Tuesday
2022-08-31,5036,Wednesday
2022-08-01,4887,Monday
2022-08-02,5413,Tuesday
2022-08-03,5328,Wednesday
2022-08-04,5444,Thursday
2022-09-06,4972,Tuesday
2022-09-07,5211,Wednesday
2022-09-08,5068,Thursday
2022-09-09,4624,Friday
2022-08-19,4681,Friday
2022-08-20,2660,Saturday
2022-08-21,2867,Sunday
2022-08-22,4839,Monday
2022-08-23,5254,Tuesday
2022-07-01,4718,Friday
2022-07-02,2676,Saturday
2022-07-03,2697,Sunday
2022-07-04,4559,Monday
2022-07-05,5230,Tuesday
2022-07-06,5469,Wednesday
2022-07-07,5478,Thursday
2022-07-08,4759,Friday
2022-07-09,2599,Saturday
2022-07-10,2598,Sunday
2022-10-01,2694,Saturday
2022-10-02,2657,Sunday
2022-10-03,4484,Monday
2022-10-04,4792,Tuesday
2022-10-05,4888,Wednesday
2022-09-10,2618,Saturday
2022-09-11,2585,Sunday
2022-09-12,4698,Monday
2022-09-13,5007,Tuesday
2022-09-14,5122,Wednesday
2022-07-15,4849,Friday
2022-07-16,2760,Saturday
2022-07-17,2830,Sunday
2022-07-18,5176,Monday
2022-11-06,3102,Sunday
2022-11-07,5286,Monday
2022-11-08,5631,Tuesday
2022-11-09,5627,Wednesday
2022-11-10,5467,Thursday
2022-11-16,5782,Wednesday
2022-11-17,5705,Thursday
2022-11-18,4995,Friday
2022-11-19,3066,Saturday
2022-11-20,3120,Sunday
2022-10-21,4824,Friday
2022-10-22,2783,Saturday
2022-10-23,2662,Sunday
2022-10-24,4683,Monday
2022-10-25,5160,Tuesday
2022-09-30,4553,Friday
2022-07-27,5610,Wednesday
2022-07-28,5619,Thursday
2022-07-29,4300,Friday
2022-07-30,2811,Saturday
2022-07-31,2875,Sunday
