date,number_comments,week_day
2023-04-05,10130,Wednesday
2023-04-06,9408,Thursday
2023-04-07,7576,Friday
2023-04-08,4921,Saturday
2023-04-09,4921,Sunday
2023-04-10,7382,Monday
2023-04-11,9719,Tuesday
2023-04-12,9545,Wednesday
2023-04-28,8386,Friday
2023-04-29,4465,Saturday
2023-04-30,4826,Sunday
2023-01-03,10813,Tuesday
2023-01-04,11912,Wednesday
2022-12-31,5703,Saturday
2023-01-01,5046,Sunday
2023-01-02,9059,Monday
2023-04-21,8592,Friday
2023-04-22,4688,Saturday
2023-04-23,4927,Sunday
2023-04-24,8932,Monday
2023-03-13,9996,Monday
2023-03-16,10141,Thursday
2023-03-14,3025,Tuesday
2023-03-15,8328,Wednesday
2023-03-23,9715,Thursday
2023-03-22,9457,Wednesday
2023-03-24,8498,Friday
2023-03-25,4864,Saturday
2023-04-13,9764,Thursday
2023-04-14,8959,Friday
2023-04-15,5105,Saturday
2023-04-16,5086,Sunday
2023-03-05,5786,Sunday
2023-03-06,9797,Monday
2023-03-07,10342,Tuesday
2023-03-08,10125,Wednesday
2023-02-16,11196,Thursday
2023-02-14,10838,Tuesday
2023-02-15,11030,Wednesday
2022-12-22,10618,Thursday
2022-12-23,8946,Friday
2022-12-26,7072,Monday
2022-12-24,5452,Saturday
2022-12-25,4595,Sunday
2023-04-25,9777,Tuesday
2023-04-26,9508,Wednesday
2023-04-27,9503,Thursday
2023-02-21,11011,Tuesday
2023-02-22,11081,Wednesday
2023-02-23,10981,Thursday
2023-03-03,9777,Friday
2023-03-01,10874,Wednesday
2023-03-02,10512,Thursday
2023-03-04,5732,Saturday
2023-03-12,5827,Sunday
2023-03-11,5151,Saturday
2023-03-09,10924,Thursday
2023-03-10,9593,Friday
2023-02-02,11632,Thursday
2023-02-03,10829,Friday
2023-02-01,11948,Wednesday
2023-02-04,6294,Saturday
2023-01-20,10273,Friday
2023-01-19,11778,Thursday
2023-01-21,6013,Saturday
2023-01-22,5969,Sunday
2023-03-29,9959,Wednesday
2023-03-30,10229,Thursday
2023-03-31,9514,Friday
2022-12-20,11141,Tuesday
2022-12-19,10737,Monday
2022-12-21,11716,Wednesday
2023-01-15,6035,Sunday
2023-01-14,5660,Saturday
2023-01-12,12652,Thursday
2023-01-13,11029,Friday
2022-12-18,6012,Sunday
2022-12-15,12161,Thursday
2022-12-16,11078,Friday
2022-12-17,6124,Saturday
2022-12-01,10888,Thursday
2022-11-30,8987,Wednesday
2022-12-02,10076,Friday
2023-01-26,10657,Thursday
2023-01-27,10724,Friday
2023-01-28,6127,Saturday
2023-01-29,6370,Sunday
2022-12-03,6053,Saturday
2022-12-05,10853,Monday
2022-12-04,6128,Sunday
2022-12-06,11949,Tuesday
2023-02-19,5859,Sunday
2023-02-17,10300,Friday
2023-02-20,10005,Monday
2023-02-18,5602,Saturday
2023-01-16,10732,Monday
2023-01-17,11685,Tuesday
2023-01-18,11971,Wednesday
2023-01-23,10759,Monday
2023-01-25,11503,Wednesday
2023-01-24,11837,Tuesday
2023-02-25,5817,Saturday
2023-02-26,5610,Sunday
2023-02-24,9589,Friday
2023-02-27,10209,Monday
2023-02-28,10875,Tuesday
2023-04-17,9553,Monday
2023-04-18,9561,Tuesday
2023-04-19,9510,Wednesday
2023-04-20,9602,Thursday
2023-01-05,12397,Thursday
2023-01-06,10544,Friday
2023-01-07,6693,Saturday
2023-01-08,6616,Sunday
2023-01-30,11355,Monday
2023-01-31,11663,Tuesday
2023-03-17,9256,Friday
2023-03-18,5148,Saturday
2023-03-19,4963,Sunday
2023-03-20,9662,Monday
2023-03-21,9935,Tuesday
2022-12-08,11224,Thursday
2022-12-09,10202,Friday
2022-12-10,6417,Saturday
2022-12-07,11598,Wednesday
2022-12-29,9896,Thursday
2022-12-30,8686,Friday
2022-12-27,8823,Tuesday
2022-12-28,9916,Wednesday
2023-04-01,5415,Saturday
2023-04-02,5497,Sunday
2023-04-03,9436,Monday
2023-04-04,9912,Tuesday
2023-01-09,11891,Monday
2023-01-10,12198,Tuesday
2023-01-11,12900,Wednesday
2023-02-07,11511,Tuesday
2023-02-08,11329,Wednesday
2023-02-05,6199,Sunday
2023-02-06,10856,Monday
2023-02-13,10179,Monday
2023-02-10,10520,Friday
2023-02-11,5733,Saturday
2023-02-12,5770,Sunday
2022-12-11,6324,Sunday
2022-12-14,12094,Wednesday
2022-12-12,11841,Monday
2022-12-13,11862,Tuesday
2023-03-26,5258,Sunday
2023-03-28,9997,Tuesday
2023-03-27,9155,Monday
