date,value
2022-07-01,220
2022-07-02,114
2022-07-03,98
2022-07-04,218
2022-07-05,230
2022-07-06,214
2022-07-07,258
2022-07-08,187
2022-07-09,115
2022-07-10,116
2022-07-11,179
2022-07-12,238
2022-07-13,259
2022-07-14,228
2022-07-15,198
2022-07-16,114
2022-07-17,114
2022-07-18,212
2022-07-19,253
2022-07-20,244
2022-07-21,264
2022-07-22,238
2022-07-23,99
2022-07-24,125
2022-07-25,205
2022-07-26,248
2022-07-27,273
2022-07-28,242
2022-07-29,193
2022-07-30,123
2022-07-31,115
2022-08-01,219
2022-08-02,253
2022-08-03,262
2022-08-04,228
2022-08-05,217
2022-08-06,117
2022-08-07,120
2022-08-08,252
2022-08-09,224
2022-08-10,267
2022-08-11,257
2022-08-12,206
2022-08-13,127
2022-08-14,105
2022-08-15,227
2022-08-16,220
2022-08-17,249
2022-08-18,261
2022-08-19,213
2022-08-20,110
2022-08-21,132
2022-08-22,198
2022-08-23,232
2022-08-24,244
2022-08-25,249
2022-08-26,215
2022-08-27,117
2022-08-28,116
2022-08-29,209
2022-08-30,224
2022-08-31,227
2022-09-01,198
2022-09-02,200
2022-09-03,94
2022-09-04,118
2022-09-05,226
2022-09-06,220
2022-09-07,257
2022-09-08,240
2022-09-09,203
2022-09-10,116
2022-09-11,109
2022-09-12,200
2022-09-13,210
2022-09-14,253
2022-09-15,190
2022-09-16,198
2022-09-17,97
2022-09-18,107
2022-09-19,231
2022-09-20,219
2022-09-21,224
2022-09-22,251
2022-09-23,214
2022-09-24,99
2022-09-25,118
2022-09-26,204
2022-09-27,234
2022-09-28,229
2022-09-29,215
2022-09-30,210
2022-10-01,109
2022-10-02,121
2022-10-03,194
2022-10-04,207
2022-10-05,242
2022-10-06,241
2022-10-07,218
2022-10-08,98
2022-10-09,115
2022-10-10,227
2022-10-11,217
2022-10-12,233
2022-10-13,232
2022-10-14,195
2022-10-15,101
2022-10-16,113
2022-10-17,199
2022-10-18,210
2022-10-19,271
2022-10-20,249
2022-10-21,211
2022-10-22,107
2022-10-23,102
2022-10-24,212
2022-10-25,229
2022-10-26,225
2022-10-27,237
2022-10-28,212
2022-10-29,121
2022-10-30,124
2022-10-31,208
2022-11-01,215
2022-11-02,235
2022-11-03,250
2022-11-04,202
2022-11-05,126
2022-11-06,119
2022-11-07,214
2022-11-08,241
2022-11-09,235
2022-11-10,243
2022-11-11,209
2022-11-12,104
2022-11-13,112
2022-11-14,252
2022-11-15,255
2022-11-16,251
2022-11-17,249
2022-11-18,197
2022-11-19,128
2022-11-20,140
2022-11-21,207
2022-11-22,244
2022-11-23,268
2022-11-24,215
2022-11-25,182
2022-11-26,112
2022-11-27,108
2022-11-28,225
2022-11-29,224
